species,elevation
Antilophia galeata,284
Antilophia galeata,987
Antilophia galeata,608
Antilophia galeata,659
Antilophia galeata,751
Antilophia galeata,814
Antilophia galeata,266
Antilophia galeata,256
Antilophia galeata,142
Antilophia galeata,594
Antilophia galeata,583
Antilophia galeata,423
Antilophia galeata,291
Antilophia galeata,312
Antilophia galeata,262
Antilophia galeata,221
Antilophia galeata,77
Antilophia galeata,247
Antilophia galeata,420
Antilophia galeata,400
Aplastodiscus lutzorum*,930
Aplastodiscus lutzorum*,894
Aplastodiscus lutzorum*,1112
Aplastodiscus lutzorum*,598
Apostolepis adhara*,287
Apostolepis albicollaris,933
Apostolepis albicollaris,1164
Apostolepis albicollaris,1067
Apostolepis albicollaris,950
Apostolepis albicollaris,889
Apostolepis albicollaris,778
Apostolepis albicollaris,791
Apostolepis albicollaris,932
Apostolepis albicollaris,335
Apostolepis albicollaris,729
Apostolepis albicollaris,1092
Apostolepis albicollaris,690
Apostolepis albicollaris,427
Apostolepis albicollaris,465
Apostolepis assimilis*,1071
Apostolepis assimilis*,1072
Apostolepis assimilis*,1144
Apostolepis assimilis*,894
Apostolepis assimilis*,499
Apostolepis assimilis*,517
Apostolepis assimilis*,528
Apostolepis assimilis*,909
Apostolepis assimilis*,454
Apostolepis assimilis*,579
Apostolepis assimilis*,902
Apostolepis assimilis*,840
Apostolepis assimilis*,916
Apostolepis assimilis*,468
Apostolepis assimilis*,802
Apostolepis assimilis*,798
Apostolepis assimilis*,798
Apostolepis assimilis*,915
Apostolepis assimilis*,624
Apostolepis assimilis*,647
Apostolepis assimilis*,654
Apostolepis assimilis*,647
Apostolepis assimilis*,676
Apostolepis assimilis*,631
Apostolepis assimilis*,624
Apostolepis assimilis*,634
Apostolepis assimilis*,655
Apostolepis assimilis*,534
Apostolepis assimilis*,536
Apostolepis assimilis*,929
Apostolepis assimilis*,916
Apostolepis assimilis*,460
Apostolepis assimilis*,1117
Apostolepis assimilis*,999
Apostolepis assimilis*,751
Apostolepis assimilis*,653
Apostolepis assimilis*,727
Apostolepis assimilis*,1164
Apostolepis assimilis*,1089
Apostolepis assimilis*,1061
Apostolepis assimilis*,1092
Apostolepis assimilis*,1227
Apostolepis assimilis*,598
Apostolepis assimilis*,914
Apostolepis assimilis*,914
Apostolepis assimilis*,652
Apostolepis assimilis*,1144
Apostolepis assimilis*,660
Apostolepis assimilis*,944
Apostolepis assimilis*,945
Apostolepis assimilis*,945
Apostolepis assimilis*,837
Apostolepis assimilis*,817
Apostolepis assimilis*,830
Apostolepis assimilis*,914
Apostolepis assimilis*,855
Apostolepis assimilis*,914
Apostolepis assimilis*,914
Apostolepis assimilis*,546
Apostolepis assimilis*,554
Apostolepis assimilis*,557
Apostolepis assimilis*,583
Apostolepis assimilis*,602
Apostolepis assimilis*,596
Apostolepis assimilis*,599
Apostolepis assimilis*,482
Apostolepis assimilis*,531
Apostolepis assimilis*,554
Apostolepis assimilis*,628
Apostolepis assimilis*,631
Apostolepis assimilis*,617
Apostolepis assimilis*,580
Apostolepis assimilis*,902
Apostolepis assimilis*,1036
Apostolepis assimilis*,966
Apostolepis assimilis*,1722
Apostolepis assimilis*,1704
Apostolepis assimilis*,1671
Apostolepis assimilis*,635
Apostolepis assimilis*,630
Apostolepis assimilis*,630
Apostolepis assimilis*,524
Apostolepis assimilis*,571
Apostolepis assimilis*,917
Apostolepis assimilis*,917
Apostolepis assimilis*,661
Apostolepis assimilis*,725
Apostolepis assimilis*,279
Apostolepis assimilis*,911
Apostolepis assimilis*,913
Apostolepis assimilis*,600
Apostolepis assimilis*,841
Apostolepis assimilis*,198
Apostolepis assimilis*,173
Apostolepis assimilis*,185
Apostolepis assimilis*,914
Apostolepis assimilis*,905
Apostolepis assimilis*,903
Apostolepis assimilis*,922
Apostolepis assimilis*,937
Apostolepis assimilis*,1281
Apostolepis assimilis*,1465
Apostolepis assimilis*,874
Apostolepis assimilis*,884
Apostolepis assimilis*,911
Apostolepis assimilis*,914
Apostolepis assimilis*,457
Apostolepis assimilis*,457
Apostolepis assimilis*,610
Apostolepis assimilis*,774
Apostolepis assimilis*,377
Apostolepis assimilis*,1219
