species,voucher,series,locality,municipality,state,country,latitude,longitude,elevation
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Barão de Melgaço/MT,MT,Brazil,-16.2795,-55.9585,140
Alipiopsitta xanthops,WikiAves,,,Barra do Garças,MT,Brazil,-15.8905,-52.2574,288
Alipiopsitta xanthops,WikiAves,,,Barra do Ouro,TO,Brazil,-7.6895,-47.6834,94
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Barra do Ouro/TO,TO,Brazil,-7.6895,-47.6834,94
Alipiopsitta xanthops,WikiAves,,,Barretos,SP,Brazil,-20.5575,-48.5684,617
Alipiopsitta xanthops,WikiAves,,,Bataguassu,MS,Brazil,-21.7145,-52.4225,307
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Bataguassu/MS,MS,Brazil,-21.7145,-52.4225,307
Alipiopsitta xanthops,WikiAves,,,Batayporã,MS,Brazil,-22.2955,-53.2715,307
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Batayporã/MS,MS,Brazil,-22.2955,-53.2715,307
Alipiopsitta xanthops,WikiAves,,,Bela Vista,MS,Brazil,-22.1095,-56.5215,178
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Bela Vista/MS,MS,Brazil,-22.1095,-56.5215,178
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Bom Despacho,MG,Brazil,-19.7167,-45.25,726
Alipiopsitta xanthops,WikiAves,,,Bonfinópolis de Minas,MG,Brazil,-16.5675,-45.9904,647
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Bonfinópolis de Minas/MG,MG,Brazil,-16.5675,-45.9904,647
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Bonito,MS,Brazil,-21.1,-56.5167,413
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,"Fazenda Estancia Mimosa Ecoturismo e Fazenda Parque das Cachoeiras, rio Mimoso, ",Bonito,MS,Brazil,-20.9667,-56.5,339
Alipiopsitta xanthops,WikiAves,,,Bonito,MS,Brazil,-21.1215,-56.4825,300
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Bonito/MS,MS,Brazil,-21.1215,-56.4825,300
Alipiopsitta xanthops,WikiAves,,,Brasilândia,MS,Brazil,-21.2565,-52.0374,306
Alipiopsitta xanthops,WikiAves,,,Brasilândia de Minas,MG,Brazil,-17.0105,-46.0094,583
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Brasilândia de Minas/MG,MG,Brazil,-17.0105,-46.0094,583
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Brasilândia/MS,MS,Brazil,-21.2565,-52.0374,306
Alipiopsitta xanthops,WikiAves,,,Brasília,DF,Brazil,-15.7805,-47.9304,1092
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Brasília/DF,DF,Brazil,-15.7805,-47.9304,1092
Alipiopsitta xanthops,WikiAves,,,Britânia,GO,Brazil,-15.2415,-51.1614,283
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Buritis,MG,Brazil,-15.6333,-46.4167,599
Alipiopsitta xanthops,WikiAves,,,Buritizeiro,MG,Brazil,-17.3515,-44.9624,519
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Buritizeiro/MG,MG,Brazil,-17.3515,-44.9624,519
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Cabeceira do Rio Arinos,MT,Brazil,-14.3333,-55.9333,490
Alipiopsitta xanthops,WikiAves,,,Caldas Novas,GO,Brazil,-17.7445,-48.6264,706
Alipiopsitta xanthops,WikiAves,,,Campinorte,GO,Brazil,-14.3145,-49.1524,758
Alipiopsitta xanthops,WikiAves,,,Campo Alegre de Goiás,GO,Brazil,-17.6395,-47.7824,914
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Campo Alegre de Goiás/GO,GO,Brazil,-17.6395,-47.7824,914
Alipiopsitta xanthops,WikiAves,,,Campo Grande,MS,Brazil,-20.4435,-54.6465,602
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Campo Grande/MS,MS,Brazil,-20.4435,-54.6465,602
Alipiopsitta xanthops,WikiAves,,,Carmo do Paranaíba,MG,Brazil,-19.0015,-46.3164,999
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Carmo do Paranaíba/MG,MG,Brazil,-19.0015,-46.3164,999
Alipiopsitta xanthops,WikiAves,,,Cascalho Rico,MG,Brazil,-18.5765,-47.8774,687
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Cascalho Rico/MG,MG,Brazil,-18.5765,-47.8774,687
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Caseara,TO,Brazil,-9.2667,-49.7833,182
Alipiopsitta xanthops,WikiAves,,,Cássia,MG,Brazil,-20.5835,-46.9224,805
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Cássia/MG,MG,Brazil,-20.5835,-46.9224,805
Alipiopsitta xanthops,WikiAves,,,Catalão,GO,Brazil,-18.1705,-47.9424,876
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Catalão/GO,GO,Brazil,-18.1705,-47.9424,876
Alipiopsitta xanthops,WikiAves,,,Cavalcante,GO,Brazil,-13.7985,-47.4584,901
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,Cavalcante/GO,GO,Brazil,-13.7985,-47.4584,901
Alipiopsitta xanthops,"Esteves-Lopes, 2005",,,"Cerrados, interfluvio Tocantins – Paraná",TO,Brazil,-12.6,-48.1,304
