id,left,top,right,bottom,xcoord,ycoord
272,-50.443771362158600,-23.532325744837181,-49.443771362158600,-24.532325744837181,-49.9437713621586,-24.0323257448372
273,-50.443771362158600,-24.532325744837181,-49.443771362158600,-25.532325744837181,-49.9437713621586,-25.0323257448372
277,-49.443771362158600,-7.532325744837180,-48.443771362158600,-8.532325744837182,-48.9437713621586,-8.03232574483718
278,-49.443771362158600,-8.532325744837182,-48.443771362158600,-9.532325744837181,-48.9437713621586,-9.03232574483718
279,-49.443771362158600,-9.532325744837181,-48.443771362158600,-10.532325744837181,-48.9437713621586,-10.0323257448372
280,-49.443771362158600,-10.532325744837181,-48.443771362158600,-11.532325744837181,-48.9437713621586,-11.0323257448372
281,-49.443771362158600,-11.532325744837181,-48.443771362158600,-12.532325744837181,-48.9437713621586,-12.0323257448372
282,-49.443771362158600,-12.532325744837181,-48.443771362158600,-13.532325744837181,-48.9437713621586,-13.0323257448372
283,-49.443771362158600,-13.532325744837181,-48.443771362158600,-14.532325744837181,-48.9437713621586,-14.0323257448372
284,-49.443771362158600,-14.532325744837181,-48.443771362158600,-15.532325744837181,-48.9437713621586,-15.0323257448372
285,-49.443771362158600,-15.532325744837181,-48.443771362158600,-16.532325744837181,-48.9437713621586,-16.0323257448372
286,-49.443771362158600,-16.532325744837181,-48.443771362158600,-17.532325744837181,-48.9437713621586,-17.0323257448372
287,-49.443771362158600,-17.532325744837181,-48.443771362158600,-18.532325744837181,-48.9437713621586,-18.0323257448372
288,-49.443771362158600,-18.532325744837181,-48.443771362158600,-19.532325744837181,-48.9437713621586,-19.0323257448372
289,-49.443771362158600,-19.532325744837181,-48.443771362158600,-20.532325744837181,-48.9437713621586,-20.0323257448372
290,-49.443771362158600,-20.532325744837181,-48.443771362158600,-21.532325744837181,-48.9437713621586,-21.0323257448372
291,-49.443771362158600,-21.532325744837181,-48.443771362158600,-22.532325744837181,-48.9437713621586,-22.0323257448372
292,-49.443771362158600,-22.532325744837181,-48.443771362158600,-23.532325744837181,-48.9437713621586,-23.0323257448372
293,-49.443771362158600,-23.532325744837181,-48.443771362158600,-24.532325744837181,-48.9437713621586,-24.0323257448372
295,-48.443771362158600,-4.532325744837180,-47.443771362158600,-5.532325744837180,-47.9437713621586,-5.03232574483718
296,-48.443771362158600,-5.532325744837180,-47.443771362158600,-6.532325744837180,-47.9437713621586,-6.03232574483718
297,-48.443771362158600,-6.532325744837180,-47.443771362158600,-7.532325744837180,-47.9437713621586,-7.03232574483718
298,-48.443771362158600,-7.532325744837180,-47.443771362158600,-8.532325744837182,-47.9437713621586,-8.03232574483718
299,-48.443771362158600,-8.532325744837182,-47.443771362158600,-9.532325744837181,-47.9437713621586,-9.03232574483718
300,-48.443771362158600,-9.532325744837181,-47.443771362158600,-10.532325744837181,-47.9437713621586,-10.0323257448372
301,-48.443771362158600,-10.532325744837181,-47.443771362158600,-11.532325744837181,-47.9437713621586,-11.0323257448372
302,-48.443771362158600,-11.532325744837181,-47.443771362158600,-12.532325744837181,-47.9437713621586,-12.0323257448372
303,-48.443771362158600,-12.532325744837181,-47.443771362158600,-13.532325744837181,-47.9437713621586,-13.0323257448372
304,-48.443771362158600,-13.532325744837181,-47.443771362158600,-14.532325744837181,-47.9437713621586,-14.0323257448372
305,-48.443771362158600,-14.532325744837181,-47.443771362158600,-15.532325744837181,-47.9437713621586,-15.0323257448372
306,-48.443771362158600,-15.532325744837181,-47.443771362158600,-16.532325744837181,-47.9437713621586,-16.0323257448372
307,-48.443771362158600,-16.532325744837181,-47.443771362158600,-17.532325744837181,-47.9437713621586,-17.0323257448372
308,-48.443771362158600,-17.532325744837181,-47.443771362158600,-18.532325744837181,-47.9437713621586,-18.0323257448372
309,-48.443771362158600,-18.532325744837181,-47.443771362158600,-19.532325744837181,-47.9437713621586,-19.0323257448372
310,-48.443771362158600,-19.532325744837181,-47.443771362158600,-20.532325744837181,-47.9437713621586,-20.0323257448372
311,-48.443771362158600,-20.532325744837181,-47.443771362158600,-21.532325744837181,-47.9437713621586,-21.0323257448372
312,-48.443771362158600,-21.532325744837181,-47.443771362158600,-22.532325744837181,-47.9437713621586,-22.0323257448372
313,-48.443771362158600,-22.532325744837181,-47.443771362158600,-23.532325744837181,-47.9437713621586,-23.0323257448372
